DATE,HOMETEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,AWAYTEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,CLASS
10/27/2018,MIL,113,82,0.5,30,0.333,23,0.913,57,24,6,7,21,19,ORL,91,101,0.327,43,0.233,17,0.882,41,21,9,6,11,22,1
10/27/2018,SAS,110,91,0.484,16,0.188,24,0.792,49,20,7,5,13,17,LAL,106,86,0.477,33,0.394,18,0.611,42,19,5,5,17,25,1
10/28/2018,BKN,114,87,0.483,42,0.476,15,0.667,37,28,5,3,15,20,GSW,120,89,0.494,33,0.333,24,0.875,47,28,11,7,12,16,-1
10/28/2018,DAL,104,91,0.418,28,0.321,25,0.76,43,24,6,3,13,19,UTA,113,80,0.525,25,0.4,22,0.864,43,25,8,6,18,27,-1
10/28/2018,OKC,117,85,0.506,24,0.292,35,0.686,43,22,16,3,15,24,PHX,110,86,0.442,27,0.296,27,0.963,44,21,10,3,22,32,1
10/28/2018,LAC,136,103,0.544,29,0.552,13,0.615,57,35,7,9,14,25,WAS,104,97,0.392,27,0.185,28,0.821,45,18,7,3,14,16,1
10/29/2018,IND,93,90,0.411,19,0.316,20,0.65,35,19,8,5,8,20,POR,103,78,0.487,26,0.385,18,0.944,50,19,3,3,18,23,-1
10/29/2018,PHI,113,99,0.414,47,0.298,18,0.944,64,33,7,9,19,22,ATL,92,94,0.372,37,0.216,21,0.667,47,20,10,3,13,18,1
10/29/2018,MIA,113,92,0.423,39,0.333,34,0.706,52,20,10,9,18,21,SAC,123,97,0.495,26,0.462,25,0.6,46,28,8,8,12,23,-1
10/29/2018,NYK,115,92,0.489,24,0.375,18,0.889,53,21,5,3,13,21,BKN,96,84,0.405,38,0.289,22,0.773,32,22,6,7,10,20,1
10/29/2018,CHI,124,94,0.489,35,0.314,34,0.618,44,24,6,3,9,19,GSW,149,96,0.552,45,0.533,26,0.731,49,34,9,7,7,29,-1
10/29/2018,MIL,124,92,0.489,45,0.422,19,0.789,57,28,5,4,17,21,TOR,109,103,0.379,45,0.2,28,0.786,51,25,9,7,10,19,1
10/29/2018,MIN,124,98,0.429,29,0.483,30,0.867,51,26,11,12,14,14,LAL,120,104,0.471,22,0.364,15,0.667,48,24,8,8,18,24,1
10/29/2018,SAS,113,92,0.462,20,0.45,21,0.952,41,27,17,2,17,19,DAL,108,91,0.473,34,0.294,17,0.706,49,15,9,3,22,21,1
10/29/2018,DEN,116,93,0.452,35,0.314,23,0.913,41,28,14,5,13,17,NOP,111,82,0.524,24,0.458,20,0.7,44,28,8,5,22,25,1
10/30/2018,CHA,125,81,0.543,28,0.464,29,0.828,39,27,7,5,14,26,MIA,113,87,0.471,28,0.393,24,0.833,34,25,9,5,15,26,1
10/30/2018,CLE,136,90,0.5,25,0.52,43,0.767,48,23,13,1,13,20,ATL,114,82,0.537,35,0.429,17,0.647,39,25,6,8,22,29,1
10/30/2018,ORL,99,91,0.396,43,0.256,22,0.727,48,28,10,8,16,22,SAC,107,84,0.488,22,0.364,26,0.654,51,22,8,6,15,20,-1
10/30/2018,BOS,108,84,0.44,31,0.29,32,0.781,46,25,8,4,14,20,DET,105,88,0.42,30,0.267,27,0.852,50,17,6,3,17,28,1
10/30/2018,TOR,129,92,0.511,27,0.407,28,0.857,43,29,13,6,15,26,PHI,112,91,0.418,40,0.35,30,0.733,47,25,7,5,23,24,1
10/30/2018,HOU,85,96,0.323,43,0.233,23,0.565,49,18,7,9,11,25,POR,104,80,0.475,20,0.4,23,0.87,51,17,4,4,17,19,-1
10/30/2018,MEM,107,74,0.486,28,0.464,31,0.71,38,28,16,3,15,20,WAS,95,74,0.432,35,0.4,20,0.85,37,24,9,7,20,22,1
10/30/2018,OKC,128,94,0.511,17,0.529,32,0.719,41,19,16,6,15,35,LAC,110,74,0.473,20,0.35,43,0.767,38,18,6,7,24,26,1
10/31/2018,BKN,120,101,0.426,38,0.316,30,0.733,55,26,5,3,16,33,DET,119,93,0.419,34,0.324,39,0.769,55,16,8,6,16,30,1
